name,processed_text,sentiment_label
Courtyard by Marriott New York Manhattan/ Fifth Avenue,courtyard marriott new york manhattan fifth avenu,Good
Fairfield Inn by Marriott New York Manhattan/Financial District,fairfield inn marriott new york manhattanfinanci district,Good
Tempo By Hilton New York Times Square,tempo hilton new york time squar,Excellent
Millennium Downtown New York,millennium downtown new york,Good
Four Points by Sheraton Midtown - Times Square,four point sheraton midtown time squar,Very Good
Embassy Suites By Hilton New York Manhattan Times Square,embassi suit hilton new york manhattan time squar,Good
"The Bernic Hotel New York City,Tapestry Collection by Hilton",bernic hotel new york citytapestri collect hilton,Very Good
Pod Times Square,pod time squar,Very Good
City Club Hotel,citi club hotel,Good
Courtyard by Marriott Times Square West,courtyard marriott time squar west,Very Good
Paramount Hotel Times Square,paramount hotel time squar,Good
InterContinental New York Barclay Hotel by IHG,intercontinent new york barclay hotel ihg,Very Good
The Belvedere Hotel,belveder hotel,Very Good
"Hotel Shocard Broadway, Times Square",hotel shocard broadway time squar,Good
Four Points by Sheraton Manhattan SoHo Village,four point sheraton manhattan soho villag,Very Good
The Muse New York,muse new york,Very Good
Millennium Hotel Broadway Times Square,millennium hotel broadway time squar,Good
Hotel Hayden New York,hotel hayden new york,Good
INNSiDE by Meliá New York Nomad,innsid meliá new york nomad,Very Good
DoubleTree by Hilton Hotel New York City - Chelsea,doubletre hilton hotel new york citi chelsea,Good
Holiday Inn Manhattan 6th Ave - Chelsea by IHG,holiday inn manhattan 6th ave chelsea ihg,Good
Millennium Hilton New York One UN Plaza,millennium hilton new york one un plaza,Good
DoubleTree by Hilton New York Midtown Fifth Ave,doubletre hilton new york midtown fifth ave,Good
Sanctuary Hotel New York,sanctuari hotel new york,Very Good
Renaissance New York Chelsea Hotel,renaiss new york chelsea hotel,Very Good
Hilton New York Times Square,hilton new york time squar,Good
Hilton Garden Inn New York Times Square North,hilton garden inn new york time squar north,Very Good
The Gregorian New York City,gregorian new york citi,Very Good
Aloft Manhattan Downtown - Financial District,aloft manhattan downtown financi district,Very Good
Courtyard by Marriott New York Manhattan / Soho,courtyard marriott new york manhattan soho,Good
Hyatt Place New York Chelsea,hyatt place new york chelsea,Good
Residence Inn by Marriott New York Manhattan/Times Square,resid inn marriott new york manhattantim squar,Very Good
Home2 Suites By Hilton New York Times Square,home2 suit hilton new york time squar,Good
Leon Hotel LES,leon hotel le,Very Good
Hilton Garden Inn West 35th Street,hilton garden inn west 35th street,Very Good
Kimpton Theta New York - Times Square by IHG,kimpton theta new york time squar ihg,Very Good
"The New Yorker, A Wyndham Hotel",new yorker wyndham hotel,Good
Kimpton Hotel Eventi by IHG,kimpton hotel eventi ihg,Very Good
MOXY NYC Times Square,moxi nyc time squar,Very Good
Renaissance New York Midtown Hotel,renaiss new york midtown hotel,Excellent
Best Western Premier Herald Square,best western premier herald squar,Good
InterContinental New York Times Square by IHG,intercontinent new york time squar ihg,Very Good
Hyatt Herald Square New York,hyatt herald squar new york,Very Good
SpringHill Suites by Marriott New York Manhattan/Times Square South,springhil suit marriott new york manhattantim squar south,Very Good
Hampton Inn by Hilton New York Times Square,hampton inn hilton new york time squar,Good
Fairfield By Marriott New York Manhattan Times Square,fairfield marriott new york manhattan time squar,Very Good
"The Mayfair Hotel Times Square, Ascend Hotel Collection",mayfair hotel time squar ascend hotel collect,Very Good
Aloft New York Chelsea,aloft new york chelsea,Very Good
Hilton Garden Inn New York/Midtown Park Avenue,hilton garden inn new yorkmidtown park avenu,Very Good
Courtyard by Marriott New York World Trade Center Area,courtyard marriott new york world trade center area,Very Good
Wingate by Wyndham New York Midtown South/5th Ave,wingat wyndham new york midtown south5th ave,Very Good
"The Historic Blue Angel Hotel Lexington Ave, Ascend Hotel Collection",histor blue angel hotel lexington ave ascend hotel collect,Excellent
Element Times Square West,element time squar west,Very Good
Hyatt Place New York City - Times Square,hyatt place new york citi time squar,Good
Hilton Garden Inn New York - Times Square Central,hilton garden inn new york time squar central,Good
Hampton Inn Times Square Central,hampton inn time squar central,Very Good
Citadines Connect Fifth Avenue New York,citadin connect fifth avenu new york,Good
Hyatt Place New York/Midtown-South,hyatt place new yorkmidtownsouth,Very Good
Hampton Inn Manhattan-35th St Empire State Bldg,hampton inn manhattan35th st empir state bldg,Very Good
Delta Hotels by Marriott New York Times Square,delta hotel marriott new york time squar,Good
Four Points by Sheraton New York Downtown,four point sheraton new york downtown,Good
Hyatt Centric Midtown 5th Avenue New York,hyatt centric midtown 5th avenu new york,Very Good
Motto By Hilton New York City Times Square,motto hilton new york citi time squar,Very Good
"U Hotel Fifth Avenue, Empire State Building",u hotel fifth avenu empir state build,Very Good
DoubleTree by Hilton New York Times Square South,doubletre hilton new york time squar south,Very Good
M Social Hotel Times Square New York,social hotel time squar new york,Very Good
La Quinta by Wyndham Time Square South,la quinta wyndham time squar south,Very Good
Holiday Inn Express Manhattan Midtown West by IHG,holiday inn express manhattan midtown west ihg,Good
Holiday Inn New York City - Times Square by IHG,holiday inn new york citi time squar ihg,Good
Motto by Hilton New York City Chelsea,motto hilton new york citi chelsea,Excellent
Hyatt Centric Midtown 5th Avenue New York,hyatt centric midtown 5th avenu new york,Very Good
Aloft New York Chelsea,aloft new york chelsea,Very Good
"The New Yorker, A Wyndham Hotel",new yorker wyndham hotel,Good
Courtyard by Marriott Times Square West,courtyard marriott time squar west,Very Good
Wingate by Wyndham New York Midtown South/5th Ave,wingat wyndham new york midtown south5th ave,Very Good
La Quinta by Wyndham Time Square South,la quinta wyndham time squar south,Very Good
Sanctuary Hotel New York,sanctuari hotel new york,Very Good
Element Times Square West,element time squar west,Very Good
DoubleTree by Hilton New York Times Square South,doubletre hilton new york time squar south,Very Good
"The Mayfair Hotel Times Square, Ascend Hotel Collection",mayfair hotel time squar ascend hotel collect,Very Good
Hyatt Place New York City - Times Square,hyatt place new york citi time squar,Good
Four Points by Sheraton Midtown - Times Square,four point sheraton midtown time squar,Very Good
Motto by Hilton New York City Chelsea,motto hilton new york citi chelsea,Excellent
Motto By Hilton New York City Times Square,motto hilton new york citi time squar,Very Good
Four Points by Sheraton New York Downtown,four point sheraton new york downtown,Good
M Social Hotel Times Square New York,social hotel time squar new york,Very Good
InterContinental New York Barclay Hotel by IHG,intercontinent new york barclay hotel ihg,Very Good
Millennium Downtown New York,millennium downtown new york,Good
Candlewood Suites NYC -Times Square by IHG,candlewood suit nyc time squar ihg,Very Good
Courtyard by Marriott New York Manhattan/ Fifth Avenue,courtyard marriott new york manhattan fifth avenu,Good
Delta Hotels by Marriott New York Times Square,delta hotel marriott new york time squar,Good
Hotel Edison Times Square,hotel edison time squar,Good
Hilton Garden Inn New York/Midtown Park Avenue,hilton garden inn new yorkmidtown park avenu,Very Good
Four Points by Sheraton Manhattan SoHo Village,four point sheraton manhattan soho villag,Very Good
Renaissance New York Chelsea Hotel,renaiss new york chelsea hotel,Very Good
DoubleTree by Hilton Hotel New York City - Chelsea,doubletre hilton hotel new york citi chelsea,Good
Kimpton Hotel Eventi by IHG,kimpton hotel eventi ihg,Very Good
Tempo By Hilton New York Times Square,tempo hilton new york time squar,Excellent
Citadines Connect Fifth Avenue New York,citadin connect fifth avenu new york,Good
Courtyard by Marriott New York World Trade Center Area,courtyard marriott new york world trade center area,Very Good
Hampton Inn Manhattan-35th St Empire State Bldg,hampton inn manhattan35th st empir state bldg,Very Good
Moxy NYC Chelsea,moxi nyc chelsea,Very Good
Pod Times Square,pod time squar,Very Good
Kimpton Theta New York - Times Square by IHG,kimpton theta new york time squar ihg,Very Good
AC Hotel by Marriott New York Downtown,ac hotel marriott new york downtown,Very Good
Paramount Hotel Times Square,paramount hotel time squar,Good
Hampton Inn Times Square Central,hampton inn time squar central,Very Good
Millennium Hilton New York One UN Plaza,millennium hilton new york one un plaza,Good
Embassy Suites By Hilton New York Manhattan Times Square,embassi suit hilton new york manhattan time squar,Good
Courtyard New York Manhattan/Midtown West,courtyard new york manhattanmidtown west,Excellent
Westgate New York Grand Central,westgat new york grand central,Very Good
Hilton New York Fashion District,hilton new york fashion district,Good
"The Historic Blue Angel Hotel Lexington Ave, Ascend Hotel Collection",histor blue angel hotel lexington ave ascend hotel collect,Excellent
Fairfield By Marriott New York Manhattan Times Square,fairfield marriott new york manhattan time squar,Very Good
Fairfield Inn by Marriott New York Manhattan/Financial District,fairfield inn marriott new york manhattanfinanci district,Good
Hilton Garden Inn New York Times Square North,hilton garden inn new york time squar north,Very Good
Sheraton Tribeca New York Hotel,sheraton tribeca new york hotel,Good
New York Marriott Marquis,new york marriott marqui,Very Good
Hyatt Centric Midtown 5th Avenue New York,hyatt centric midtown 5th avenu new york,Very Good
Aloft New York Chelsea,aloft new york chelsea,Very Good
"The New Yorker, A Wyndham Hotel",new yorker wyndham hotel,Good
Courtyard by Marriott Times Square West,courtyard marriott time squar west,Very Good
Wingate by Wyndham New York Midtown South/5th Ave,wingat wyndham new york midtown south5th ave,Very Good
La Quinta by Wyndham Time Square South,la quinta wyndham time squar south,Very Good
Sanctuary Hotel New York,sanctuari hotel new york,Very Good
Element Times Square West,element time squar west,Very Good
DoubleTree by Hilton New York Times Square South,doubletre hilton new york time squar south,Very Good
"The Mayfair Hotel Times Square, Ascend Hotel Collection",mayfair hotel time squar ascend hotel collect,Very Good
Hyatt Place New York City - Times Square,hyatt place new york citi time squar,Good
Four Points by Sheraton Midtown - Times Square,four point sheraton midtown time squar,Very Good
Motto by Hilton New York City Chelsea,motto hilton new york citi chelsea,Excellent
Motto By Hilton New York City Times Square,motto hilton new york citi time squar,Very Good
Four Points by Sheraton New York Downtown,four point sheraton new york downtown,Good
M Social Hotel Times Square New York,social hotel time squar new york,Very Good
InterContinental New York Barclay Hotel by IHG,intercontinent new york barclay hotel ihg,Very Good
Millennium Downtown New York,millennium downtown new york,Good
Candlewood Suites NYC -Times Square by IHG,candlewood suit nyc time squar ihg,Very Good
Courtyard by Marriott New York Manhattan/ Fifth Avenue,courtyard marriott new york manhattan fifth avenu,Good
Delta Hotels by Marriott New York Times Square,delta hotel marriott new york time squar,Good
Hotel Edison Times Square,hotel edison time squar,Good
Hilton Garden Inn New York/Midtown Park Avenue,hilton garden inn new yorkmidtown park avenu,Very Good
Four Points by Sheraton Manhattan SoHo Village,four point sheraton manhattan soho villag,Very Good
Renaissance New York Chelsea Hotel,renaiss new york chelsea hotel,Very Good
DoubleTree by Hilton Hotel New York City - Chelsea,doubletre hilton hotel new york citi chelsea,Good
Kimpton Hotel Eventi by IHG,kimpton hotel eventi ihg,Very Good
Tempo By Hilton New York Times Square,tempo hilton new york time squar,Excellent
Citadines Connect Fifth Avenue New York,citadin connect fifth avenu new york,Good
Courtyard by Marriott New York World Trade Center Area,courtyard marriott new york world trade center area,Very Good
Hampton Inn Manhattan-35th St Empire State Bldg,hampton inn manhattan35th st empir state bldg,Very Good
Moxy NYC Chelsea,moxi nyc chelsea,Very Good
Pod Times Square,pod time squar,Very Good
Kimpton Theta New York - Times Square by IHG,kimpton theta new york time squar ihg,Very Good
AC Hotel by Marriott New York Downtown,ac hotel marriott new york downtown,Very Good
Paramount Hotel Times Square,paramount hotel time squar,Good
Hampton Inn Times Square Central,hampton inn time squar central,Very Good
Millennium Hilton New York One UN Plaza,millennium hilton new york one un plaza,Good
Embassy Suites By Hilton New York Manhattan Times Square,embassi suit hilton new york manhattan time squar,Good
Courtyard New York Manhattan/Midtown West,courtyard new york manhattanmidtown west,Excellent
Westgate New York Grand Central,westgat new york grand central,Very Good
Hilton New York Fashion District,hilton new york fashion district,Good
"The Historic Blue Angel Hotel Lexington Ave, Ascend Hotel Collection",histor blue angel hotel lexington ave ascend hotel collect,Excellent
Fairfield By Marriott New York Manhattan Times Square,fairfield marriott new york manhattan time squar,Very Good
Fairfield Inn by Marriott New York Manhattan/Financial District,fairfield inn marriott new york manhattanfinanci district,Good
Hilton Garden Inn New York Times Square North,hilton garden inn new york time squar north,Very Good
Sheraton Tribeca New York Hotel,sheraton tribeca new york hotel,Good
New York Marriott Marquis,new york marriott marqui,Very Good
Fairfield Inn by Marriott New York Manhattan/Financial District,fairfield inn marriott new york manhattanfinanci district,Good
Aloft New York Chelsea,aloft new york chelsea,Very Good
Courtyard by Marriott Times Square West,courtyard marriott time squar west,Very Good
Holiday Inn New York City - Times Square by IHG,holiday inn new york citi time squar ihg,Good
Renaissance New York Chelsea Hotel,renaiss new york chelsea hotel,Very Good
Element Times Square West,element time squar west,Very Good
Wingate by Wyndham New York Midtown South/5th Ave,wingat wyndham new york midtown south5th ave,Very Good
Courtyard by Marriott New York World Trade Center Area,courtyard marriott new york world trade center area,Very Good
"The Mayfair Hotel Times Square, Ascend Hotel Collection",mayfair hotel time squar ascend hotel collect,Very Good
Hampton Inn Times Square Central,hampton inn time squar central,Very Good
Courtyard by Marriott New York Manhattan/ Fifth Avenue,courtyard marriott new york manhattan fifth avenu,Good
DoubleTree by Hilton New York Times Square South,doubletre hilton new york time squar south,Very Good
"U Hotel Fifth Avenue, Empire State Building",u hotel fifth avenu empir state build,Very Good
Courtyard New York Downtown Manhattan/Financial District,courtyard new york downtown manhattanfinanci district,Good
Four Points by Sheraton Midtown - Times Square,four point sheraton midtown time squar,Very Good
Hyatt Centric Midtown 5th Avenue New York,hyatt centric midtown 5th avenu new york,Very Good
Motto by Hilton New York City Chelsea,motto hilton new york citi chelsea,Excellent
Motto By Hilton New York City Times Square,motto hilton new york citi time squar,Very Good
M Social Hotel Times Square New York,social hotel time squar new york,Very Good
Delta Hotels by Marriott New York Times Square,delta hotel marriott new york time squar,Good
Candlewood Suites NYC -Times Square by IHG,candlewood suit nyc time squar ihg,Very Good
"The New Yorker, A Wyndham Hotel",new yorker wyndham hotel,Good
SpringHill Suites by Marriott New York Manhattan/Times Square South,springhil suit marriott new york manhattantim squar south,Very Good
Fairfield By Marriott New York Manhattan Times Square,fairfield marriott new york manhattan time squar,Very Good
Hyatt Place New York City - Times Square,hyatt place new york citi time squar,Good
La Quinta by Wyndham Time Square South,la quinta wyndham time squar south,Very Good
Kimpton Theta New York - Times Square by IHG,kimpton theta new york time squar ihg,Very Good
Hilton Garden Inn New York/Midtown Park Avenue,hilton garden inn new yorkmidtown park avenu,Very Good
Hotel Edison Times Square,hotel edison time squar,Good
Fairfield Inn & Suites by Marriott New York Manhattan/Times Square South,fairfield inn suit marriott new york manhattantim squar south,Very Good
Four Points by Sheraton Manhattan SoHo Village,four point sheraton manhattan soho villag,Very Good
Embassy Suites By Hilton New York Manhattan Times Square,embassi suit hilton new york manhattan time squar,Good
Millennium Downtown New York,millennium downtown new york,Good
DoubleTree by Hilton Hotel New York City - Chelsea,doubletre hilton hotel new york citi chelsea,Good
Moxy NYC Chelsea,moxi nyc chelsea,Very Good
voco Times Square South New York by IHG,voco time squar south new york ihg,Very Good
Citadines Connect Fifth Avenue New York,citadin connect fifth avenu new york,Good
Hampton Inn Manhattan-35th St Empire State Bldg,hampton inn manhattan35th st empir state bldg,Very Good
MOXY NYC Times Square,moxi nyc time squar,Very Good
Carnegie Hotel,carnegi hotel,Excellent
InterContinental New York Barclay Hotel by IHG,intercontinent new york barclay hotel ihg,Very Good
SpringHill Suites by Marriott New York Midtown Manhattan/Fifth Avenue,springhil suit marriott new york midtown manhattanfifth avenu,Very Good
Kimpton Hotel Eventi by IHG,kimpton hotel eventi ihg,Very Good
The Knickerbocker,knickerbock,Very Good
Leon Hotel LES,leon hotel le,Very Good
Hampton Inn by Hilton New York Times Square,hampton inn hilton new york time squar,Good
Aura Hotel Times Square Newly Renovated,aura hotel time squar newli renov,Good
Pod Times Square,pod time squar,Very Good
Renaissance New York Harlem Hotel,renaiss new york harlem hotel,Good
Fairfield Inn by Marriott New York Manhattan/Financial District,fairfield inn marriott new york manhattanfinanci district,Good
Aloft New York Chelsea,aloft new york chelsea,Very Good
Courtyard by Marriott Times Square West,courtyard marriott time squar west,Very Good
Holiday Inn New York City - Times Square by IHG,holiday inn new york citi time squar ihg,Good
Renaissance New York Chelsea Hotel,renaiss new york chelsea hotel,Very Good
Element Times Square West,element time squar west,Very Good
Wingate by Wyndham New York Midtown South/5th Ave,wingat wyndham new york midtown south5th ave,Very Good
Courtyard by Marriott New York World Trade Center Area,courtyard marriott new york world trade center area,Very Good
"The Mayfair Hotel Times Square, Ascend Hotel Collection",mayfair hotel time squar ascend hotel collect,Very Good
Hampton Inn Times Square Central,hampton inn time squar central,Very Good
Courtyard by Marriott New York Manhattan/ Fifth Avenue,courtyard marriott new york manhattan fifth avenu,Good
DoubleTree by Hilton New York Times Square South,doubletre hilton new york time squar south,Very Good
"U Hotel Fifth Avenue, Empire State Building",u hotel fifth avenu empir state build,Very Good
Courtyard New York Downtown Manhattan/Financial District,courtyard new york downtown manhattanfinanci district,Good
Four Points by Sheraton Midtown - Times Square,four point sheraton midtown time squar,Very Good
Hyatt Centric Midtown 5th Avenue New York,hyatt centric midtown 5th avenu new york,Very Good
Motto by Hilton New York City Chelsea,motto hilton new york citi chelsea,Excellent
Motto By Hilton New York City Times Square,motto hilton new york citi time squar,Very Good
M Social Hotel Times Square New York,social hotel time squar new york,Very Good
Delta Hotels by Marriott New York Times Square,delta hotel marriott new york time squar,Good
Candlewood Suites NYC -Times Square by IHG,candlewood suit nyc time squar ihg,Very Good
"The New Yorker, A Wyndham Hotel",new yorker wyndham hotel,Good
SpringHill Suites by Marriott New York Manhattan/Times Square South,springhil suit marriott new york manhattantim squar south,Very Good
Fairfield By Marriott New York Manhattan Times Square,fairfield marriott new york manhattan time squar,Very Good
Hyatt Place New York City - Times Square,hyatt place new york citi time squar,Good
La Quinta by Wyndham Time Square South,la quinta wyndham time squar south,Very Good
Kimpton Theta New York - Times Square by IHG,kimpton theta new york time squar ihg,Very Good
Hilton Garden Inn New York/Midtown Park Avenue,hilton garden inn new yorkmidtown park avenu,Very Good
Hotel Edison Times Square,hotel edison time squar,Good
Fairfield Inn & Suites by Marriott New York Manhattan/Times Square South,fairfield inn suit marriott new york manhattantim squar south,Very Good
Four Points by Sheraton Manhattan SoHo Village,four point sheraton manhattan soho villag,Very Good
Embassy Suites By Hilton New York Manhattan Times Square,embassi suit hilton new york manhattan time squar,Good
Millennium Downtown New York,millennium downtown new york,Good
DoubleTree by Hilton Hotel New York City - Chelsea,doubletre hilton hotel new york citi chelsea,Good
Moxy NYC Chelsea,moxi nyc chelsea,Very Good
voco Times Square South New York by IHG,voco time squar south new york ihg,Very Good
Citadines Connect Fifth Avenue New York,citadin connect fifth avenu new york,Good
Hampton Inn Manhattan-35th St Empire State Bldg,hampton inn manhattan35th st empir state bldg,Very Good
MOXY NYC Times Square,moxi nyc time squar,Very Good
Carnegie Hotel,carnegi hotel,Excellent
InterContinental New York Barclay Hotel by IHG,intercontinent new york barclay hotel ihg,Very Good
SpringHill Suites by Marriott New York Midtown Manhattan/Fifth Avenue,springhil suit marriott new york midtown manhattanfifth avenu,Very Good
Kimpton Hotel Eventi by IHG,kimpton hotel eventi ihg,Very Good
The Knickerbocker,knickerbock,Very Good
Leon Hotel LES,leon hotel le,Very Good
Hampton Inn by Hilton New York Times Square,hampton inn hilton new york time squar,Good
Aura Hotel Times Square Newly Renovated,aura hotel time squar newli renov,Good
Pod Times Square,pod time squar,Very Good
Renaissance New York Harlem Hotel,renaiss new york harlem hotel,Good
Motto By Hilton New York City Times Square,motto hilton new york citi time squar,Very Good
"The Mayfair Hotel Times Square, Ascend Hotel Collection",mayfair hotel time squar ascend hotel collect,Very Good
Aloft New York Chelsea,aloft new york chelsea,Very Good
"The New Yorker, A Wyndham Hotel",new yorker wyndham hotel,Good
Element Times Square West,element time squar west,Very Good
"U Hotel Fifth Avenue, Empire State Building",u hotel fifth avenu empir state build,Very Good
Hilton Garden Inn New York/Midtown Park Avenue,hilton garden inn new yorkmidtown park avenu,Very Good
Pod Times Square,pod time squar,Very Good
Fairfield Inn by Marriott New York Manhattan/Financial District,fairfield inn marriott new york manhattanfinanci district,Good
DoubleTree by Hilton Hotel New York City - Chelsea,doubletre hilton hotel new york citi chelsea,Good
Hampton Inn Times Square Central,hampton inn time squar central,Very Good
DoubleTree by Hilton New York Times Square South,doubletre hilton new york time squar south,Very Good
Fairfield By Marriott New York Manhattan Times Square,fairfield marriott new york manhattan time squar,Very Good
Delta Hotels by Marriott New York Times Square,delta hotel marriott new york time squar,Good
Hyatt Place New York City - Times Square,hyatt place new york citi time squar,Good
Gansevoort Meatpacking,gansevoort meatpack,Very Good
Four Points by Sheraton Midtown - Times Square,four point sheraton midtown time squar,Very Good
Hyatt Centric Midtown 5th Avenue New York,hyatt centric midtown 5th avenu new york,Very Good
Hotel Edison Times Square,hotel edison time squar,Good
Courtyard by Marriott Times Square West,courtyard marriott time squar west,Very Good
Courtyard by Marriott New York World Trade Center Area,courtyard marriott new york world trade center area,Very Good
M Social Hotel Times Square New York,social hotel time squar new york,Very Good
MOXY NYC Times Square,moxi nyc time squar,Very Good
Hampton Inn Manhattan-35th St Empire State Bldg,hampton inn manhattan35th st empir state bldg,Very Good
Four Points by Sheraton Manhattan SoHo Village,four point sheraton manhattan soho villag,Very Good
Wingate by Wyndham New York Midtown South/5th Ave,wingat wyndham new york midtown south5th ave,Very Good
Leon Hotel LES,leon hotel le,Very Good
Renaissance New York Harlem Hotel,renaiss new york harlem hotel,Good
Pod 51,pod 51,Good
Candlewood Suites NYC -Times Square by IHG,candlewood suit nyc time squar ihg,Very Good
Holiday Inn Express - Times Square by IHG,holiday inn express time squar ihg,Good
Millennium Downtown New York,millennium downtown new york,Good
voco Times Square South New York by IHG,voco time squar south new york ihg,Very Good
Cambria Hotel New York - Chelsea,cambria hotel new york chelsea,Very Good
Kimpton Theta New York - Times Square by IHG,kimpton theta new york time squar ihg,Very Good
Nolitan Hotel SoHo - New York,nolitan hotel soho new york,Good
Carnegie Hotel,carnegi hotel,Excellent
Sanctuary Hotel New York,sanctuari hotel new york,Very Good
Moxy NYC Chelsea,moxi nyc chelsea,Very Good
The Knickerbocker,knickerbock,Very Good
The Belvedere Hotel,belveder hotel,Very Good
Renaissance New York Chelsea Hotel,renaiss new york chelsea hotel,Very Good
Hampton Inn by Hilton New York Times Square,hampton inn hilton new york time squar,Good
DoubleTree by Hilton New York Downtown,doubletre hilton new york downtown,Good
Aura Hotel Times Square Newly Renovated,aura hotel time squar newli renov,Good
La Quinta by Wyndham Time Square South,la quinta wyndham time squar south,Very Good
"Dream Midtown, by Hyatt",dream midtown hyatt,Good
Motto by Hilton New York City Chelsea,motto hilton new york citi chelsea,Excellent
Motto By Hilton New York City Times Square,motto hilton new york citi time squar,Very Good
"The Mayfair Hotel Times Square, Ascend Hotel Collection",mayfair hotel time squar ascend hotel collect,Very Good
Aloft New York Chelsea,aloft new york chelsea,Very Good
"The New Yorker, A Wyndham Hotel",new yorker wyndham hotel,Good
Element Times Square West,element time squar west,Very Good
"U Hotel Fifth Avenue, Empire State Building",u hotel fifth avenu empir state build,Very Good
Hilton Garden Inn New York/Midtown Park Avenue,hilton garden inn new yorkmidtown park avenu,Very Good
Pod Times Square,pod time squar,Very Good
Fairfield Inn by Marriott New York Manhattan/Financial District,fairfield inn marriott new york manhattanfinanci district,Good
DoubleTree by Hilton Hotel New York City - Chelsea,doubletre hilton hotel new york citi chelsea,Good
Hampton Inn Times Square Central,hampton inn time squar central,Very Good
DoubleTree by Hilton New York Times Square South,doubletre hilton new york time squar south,Very Good
Fairfield By Marriott New York Manhattan Times Square,fairfield marriott new york manhattan time squar,Very Good
Delta Hotels by Marriott New York Times Square,delta hotel marriott new york time squar,Good
Hyatt Place New York City - Times Square,hyatt place new york citi time squar,Good
Gansevoort Meatpacking,gansevoort meatpack,Very Good
Four Points by Sheraton Midtown - Times Square,four point sheraton midtown time squar,Very Good
Hyatt Centric Midtown 5th Avenue New York,hyatt centric midtown 5th avenu new york,Very Good
Hotel Edison Times Square,hotel edison time squar,Good
Courtyard by Marriott Times Square West,courtyard marriott time squar west,Very Good
Courtyard by Marriott New York World Trade Center Area,courtyard marriott new york world trade center area,Very Good
M Social Hotel Times Square New York,social hotel time squar new york,Very Good
MOXY NYC Times Square,moxi nyc time squar,Very Good
Hampton Inn Manhattan-35th St Empire State Bldg,hampton inn manhattan35th st empir state bldg,Very Good
Four Points by Sheraton Manhattan SoHo Village,four point sheraton manhattan soho villag,Very Good
Wingate by Wyndham New York Midtown South/5th Ave,wingat wyndham new york midtown south5th ave,Very Good
Leon Hotel LES,leon hotel le,Very Good
Renaissance New York Harlem Hotel,renaiss new york harlem hotel,Good
Pod 51,pod 51,Good
Candlewood Suites NYC -Times Square by IHG,candlewood suit nyc time squar ihg,Very Good
Holiday Inn Express - Times Square by IHG,holiday inn express time squar ihg,Good
Millennium Downtown New York,millennium downtown new york,Good
voco Times Square South New York by IHG,voco time squar south new york ihg,Very Good
Cambria Hotel New York - Chelsea,cambria hotel new york chelsea,Very Good
Kimpton Theta New York - Times Square by IHG,kimpton theta new york time squar ihg,Very Good
Nolitan Hotel SoHo - New York,nolitan hotel soho new york,Good
Carnegie Hotel,carnegi hotel,Excellent
Sanctuary Hotel New York,sanctuari hotel new york,Very Good
Moxy NYC Chelsea,moxi nyc chelsea,Very Good
The Knickerbocker,knickerbock,Very Good
The Belvedere Hotel,belveder hotel,Very Good
Renaissance New York Chelsea Hotel,renaiss new york chelsea hotel,Very Good
Hampton Inn by Hilton New York Times Square,hampton inn hilton new york time squar,Good
DoubleTree by Hilton New York Downtown,doubletre hilton new york downtown,Good
Aura Hotel Times Square Newly Renovated,aura hotel time squar newli renov,Good
La Quinta by Wyndham Time Square South,la quinta wyndham time squar south,Very Good
"Dream Midtown, by Hyatt",dream midtown hyatt,Good
